Region,Administrative Province,Station Name,LAT,LON,ALT,Rx1day (mm),Period Covered
I,llocos Norte,Laoag,18.178,120.532,7.6,564.2,1907-2018
I,llocos Sur,Sinait-Vigan,17.883,120.467,570,594.1,1903-2018
I,Pangasinan,Dagupan,16.082,120.35,20,722.6,1903-2018
CAR,Benguet,Baguio,16.4,120.6,15010,1085.8,1902-2018
II,Batanes,Basco Radar,20.433,121.967,1670,616.4,1903-2018
II,Batanes,Itbayat,20.8,121.85,1240,572.3,1971-2018
II,Cagayan,Aparri,18.367,121.633,30,453.1,1903-2018
II,Cagayan,Calayan,19.267,121.467,130,522.2,1919-2018
II,Cagayan,Tuguegarao,17.633,121.75,620,349.7,1902-2018
III,Aurora,Baler Radar,15.75,121.633,1780,675.6,1949-2018
III,Aurora,Casiguran,16.267,122.133,40,402.6,1919-2018
III,Pampanga,Clark,15.183,120.55,1550,274.5,1997-2018
III,Nueva Ecija,Cabanatuan,15.467,120.95,320,297.2,1919-2018
III,Zambales,Iba,15.333,119.967,50,623.7,1903-2018
III,Zambales,"Cubi Pt., Subic Bay",14.8,120.267,190,436.4,1994-2018
IV-A,Batangas,Ambulong,14.083,121.05,110,499.2,1919-2018
IV-A,Cavite,Sangley Point,14.495,120.904,40,475.4,1974-2018
IV-A,Quezon,Alabat,14.1,122.017,50,673,1952-2018
IV-A,Quezon,Infanta,14.75,121.65,70,339,1949-2018
IV-A,Quezon,Tayabas,14.017,121.6,1580,557.7,1970-2018
IV-A,Rizal,Tanay,14.583,121.367,6510,331.8,2000-2018
IV-B,Occidental Mindoro,San Jose,12.367,121.05,30,286.7,1980-2018
IV-B,Oriental Mindoro,Calapan,13.417,121.183,410,277.4,1919-2018
IV-B,Palawan,Coron,12.22,120.2,600,317.6,1949-2018
IV-B,Palawan,Cuyo,10.85,121,40,294.4,1902-2018
IV-B,Palawan,Puerto Princesa,9.733,118.767,150,269.3,1949-2018
IV-B,Romblon,Romblon,12.583,122.283,470,385.8,1904-2018
NCR,Metro Manila,NAIA (MIA),14.509,121.02,22.9,472.4,1947-2018
NCR,Metro Manila,Port Area (MCO),14.583,120.983,130,403.1,1865-2018
NCR,Metro Manila,Science Garden,14.65,121.05,460,455,1961-2018
V,Albay,Legazpi,13.133,123.733,170,484.6,1902-2018
V,Camarines Norte,Daet,14.133,122.983,40,507.5,1920-2018
V,Catanduanes,Virac Synop,13.6,124.217,400,494.2,1908-2018
V,Masbate,Masbate,12.367,123.633,60,603.5,1907-2018
VI,Capiz,Roxas City,11.6,122.75,40,370.2,1903-2018
VI,lloilo,Iloilo,10.713,122.541,8.2,319.8,1903-2010
VII,Bohol,Tagbilaran-Dauis,9.667,123.85,80,229.1,1903-2018
VII,Cebu,Mactan,10.317,123.983,240,276.1,1972-2018
VII,Negros Oriental,Dumaguete,9.333,123.3,80,208.3,1910-2018
VIII,Eastern Samar,Borongan,11.667,125.45,30,427.8,1949-2018
VIII,Eastern Samar,Guiuan,11.036,125.742,2.1,780.4,1973-2018
VIII,Leyte,Tacloban,11.228,125.028,3,325.9,1903-2018
VIII,Northern Samar,Catarman,12.5,124.633,70,485.8,1919-2018
VIII,Southern Leyte,Maasin,10.133,124.867,720,281.9,1973-2018
VIII,Western Samar,Catbalogan,11.783,124.883,50,387.9,1919-2018
IX,Zamboanga Del Norte,Dipolog,8.6,123.35,50,295.8,1949-2018
IX,Zamboanga del Sur,Zamboanga,6.917,122.067,60,199.1,1902-2018
X,Bukidnon,Malaybalay,8.15,125.133,6270,195.9,1949-2018
X,Misamis Oriental,Lumbia-El Salvador,8.417,124.617,1880,237.1,1977-2018
XI,Davao Del Sur,Davao City,7.126,125.646,29.3,242.6,1902-2018
XII,South Cotabato,General Santos,6.05,125.1,133,189.5,1949-2018
CARAGA,Agusan Del Norte,Butuan,8.95,125.483,460,271.6,1980-2018
CARAGA,Surigao Del Sur,Hinatuan,8.367,126.333,30,375.5,1949-2018
CARAGA,Surigao Del Norte,Surigao,9.783,125.483,550,566.4,1902-2018
BARMM,Maguindanao,Cotabato,7.167,124.217,620,201.7,1986-2018
