YEAR,Laoag,Sinait-Vigan,Dagupan,Baguio,Basco Radar,Itbayat,Aparri,Calayan,Tuguegarao,Baler Radar,Casiguran,Clark,Cabanatuan,Iba,"Cubi Pt., Subic Bay",Ambulong,Sangley Point,Alabat,Infanta,Tayabas,Tanay,San Jose,Calapan,Coron,Cuyo,Puerto Princesa,Romblon,NAIA (MIA),Port Area (MCO),Science Garden,Legazpi,Daet,Virac Synop,Masbate,Roxas City,Iloilo,Tagbilaran-Dauis,Mactan,Dumaguete,Borongan,Guiuan,Tacloban,Catarman,Maasin,Catbalogan,Dipolog,Zamboanga,Malaybalay,Lumbia-El Salvador,Davao City,General Santos,Butuan,Hinatuan,Surigao,Cotabato
1981,400.05,115.062,109.982,214.884,,,375.5,27.94,260.096,,219.964,,,150.114,256.032,320.04,32.004,37.084,89.916,241.046,,6.096,50.038,,24.892,160.02,,400.05,70.104,55.118,340.106,359.918,130.048,10.922,,,59.944,,38.1,109.982,169.926,139.954,109.982,4.064,,36.068,48.006,,17.018,99.06,7.112,27.94,320.04,,
1982,66.04,16.002,33.02,208.026,,,130.048,,35.052,,171.958,12.954,,103.886,237.998,41.91,186.944,127,39.116,94.996,,185.928,96.266,,17.018,44.958,77.978,400.05,203.962,322.072,93.98,151.892,62.992,14.986,89.916,240.03,119.888,193.04,,94.996,45.974,200.914,98.298,3.048,34.036,55.88,91.948,,,,,134.112,75.946,,
1983,16.002,17.018,23.876,300.99,,,99.06,1.016,41.91,,,,,59.944,213.106,0.508,96.012,94.996,74.93,96.012,,201.93,132.08,,,46.99,19.05,210.058,,160.02,19.05,66.04,89.916,4.064,44.958,99.06,43.942,257.048,119.888,19.05,90.932,18.034,57.912,30.988,180.086,70.104,39.878,119.888,45.974,17.018,30.988,107.95,34.036,,
1984,25.908,,23.876,89.916,,,6.096,,20.066,,,,,29.972,310.896,,99.06,189.992,54.102,94.996,,240.03,14.986,,1.016,6.096,28.956,57.912,223.012,192.024,109.982,55.88,23.114,7.874,29.972,96.012,71.882,257.048,39.878,30.988,99.06,29.972,50.038,,61.976,58.928,121.92,119.888,219.964,,114.046,96.012,24.892,13.97,
1985,214.122,27.94,93.98,121.92,,,94.996,,22.098,,145.034,,,125.984,382.016,4.064,189.992,94.996,123.952,43.942,,,32.004,,2.032,29.972,89.916,29.972,40.894,44.958,77.978,89.916,36.068,16.002,48.006,113.03,88.9,50.038,50.038,0.254,39.116,35.052,38.1,,92.456,46.99,55.118,,28.956,49.022,3.048,77.978,41.91,41.91,
1986,99.06,32.004,48.006,40.894,,,16.002,,345.4,,75.946,,,22.098,236.982,13.97,100.076,71.12,61.976,119.126,,,57.912,,103.124,11.938,2.032,38.1,48.006,25.908,113.03,221.996,37.592,91.948,89.916,51.054,182.118,139.954,,7.112,92.202,17.018,139.954,96.012,24.892,51.054,51.054,,14.986,67.056,89.916,44.958,28.956,37.084,39.878
1987,26.924,,20.066,110.998,,,379.9,,73.914,,4.064,,,12.954,251.968,41.91,39.116,44.958,38.1,500.126,,5.08,11.938,,10.922,71.12,20.066,138.938,156.972,80.01,119.888,122.936,74.93,27.94,58.928,93.98,29.972,199.898,7.112,,50.038,32.004,72.898,150.114,50.038,35.052,70.104,23.876,24.892,48.006,91.948,26.924,56.896,1.016,
1988,61.976,38.1,113.03,32.004,,,7.112,,137.922,,49.022,,,54.102,182.88,18.034,40.894,97.028,103.886,121.92,,50.038,97.028,,88.9,185.928,149.098,61.976,,42.926,86.106,75.946,56.896,277.114,218.948,99.06,49.022,82.042,20.066,,35.052,153.924,69.088,131.064,90.932,68.072,,46.99,39.878,25.908,151.892,77.978,135.89,87.884,
1989,368.046,4.064,177.038,475.996,,,9.906,,139.954,161.6,46.99,,,102.108,145.034,116.078,106.934,56.896,118.11,127,,191.008,262.89,14.986,99.06,210.058,108.966,102.108,153.924,,205.994,221.996,71.882,163.068,99.06,89.916,170.942,144.018,55.88,,152.908,272.034,62.992,41.91,162.052,91.948,57.912,112.014,55.118,97.028,166.116,65.024,84.074,113.03,
1990,192.024,,306.07,273.05,,,143.002,25.908,135.89,,120.904,41.91,,175.006,224.028,157.988,305.054,147.066,204.978,134.874,,201.93,108.966,128.016,149.098,91.948,299.974,149.098,194.056,198.882,80.01,114.046,83.058,93.98,112.014,180.086,66.04,140.97,180.086,,89.916,129.032,127,20.066,119.888,92.964,193.04,103.886,103.124,223.012,94.996,,151.892,97.028,
1991,240.03,,94.996,272.034,,,210.058,5.08,85.09,,103.124,41.91,35.052,183.896,289.052,106.934,162.052,159.004,182.88,175.006,,174.244,118.11,122.936,106.934,127,144.018,116.078,89.916,85.09,203.962,323.088,60.96,146.05,153.924,159.004,106.934,,134.112,,103.886,203.962,59.944,3.048,140.462,104.902,,104.902,56.896,73.914,32.004,98.044,75.946,82.042,
1992,215.9,,209.042,395.986,,51.054,18.034,68.072,251.968,178.5,97.028,,25.908,179.07,167.894,116.078,129.032,161.036,199.898,150.114,,101.092,103.124,69.088,,55.88,71.882,150.114,121.92,119.126,145.034,81.026,57.912,103.124,89.916,,58.928,72.898,56.896,,106.934,38.1,62.992,73.914,155.956,73.914,56.896,115.062,69.088,125.984,46.99,94.996,70.104,97.028,88.9
1993,360.934,,161.036,121.92,,,404.114,64.008,194.056,,161.036,,154.94,149.098,,144.018,165.1,246.888,281.94,271.018,,123.952,139.954,134.112,87.122,46.99,,99.06,112.014,176.022,148.082,200.914,130.048,175.006,152.908,,92.964,104.902,82.042,,82.042,130.048,98.044,105.918,89.408,157.988,103.124,145.034,77.978,193.04,89.916,123.952,80.01,227.076,7.874
1994,176.022,204.978,320.04,456.946,,81.026,55.118,112.014,182.88,,175.006,,,167.894,,106.934,150.114,163.068,,120.904,,131.064,180.086,157.988,219.964,89.916,7.112,1.016,77.978,180.086,291.084,128.016,157.988,180.086,89.916,,134.112,173.99,118.11,,134.112,247.904,320.04,98.044,143.002,180.086,76.962,97.028,134.112,103.886,46.99,,230.124,82.042,
1995,224.028,150.114,48.006,500.126,,128.016,75.946,154.94,123.952,102.108,243.078,,49.022,176.022,39.116,108.966,230.886,247.904,230.886,205.994,,88.9,156.972,,99.06,107.95,154.94,110.998,130.048,73.914,314.96,334.01,176.022,138.938,200.914,118.11,115.062,166.116,65.024,,127,136.906,151.892,157.988,116.078,113.03,64.008,96.012,106.934,73.914,43.942,132.08,193.04,81.026,3.048
1996,388.112,320.04,145.034,450.088,,250.952,180.086,108.966,192.024,154.94,216.916,,130.048,150.876,64.008,197.104,105.918,148.082,136.906,203.962,,112.014,240.03,171.958,133.096,182.118,65.024,91.948,104.902,104.902,279.908,124.968,191.008,124.968,150.114,181.102,200.914,85.09,151.892,,205.994,99.06,148.082,87.122,360.934,116.078,,103.124,92.964,104.902,51.054,128.016,194.056,166.878,
1997,182.118,133.096,104.902,90.932,,88.9,203.962,58.928,341.884,86.106,77.978,,163.068,172.974,,87.122,257.048,127,88.9,281.94,,,49.022,265.938,120.904,82.042,71.12,119.888,242.062,145.034,149.098,182.118,182.88,73.914,45.974,97.028,93.98,99.06,54.102,,99.06,103.124,67.056,37.084,149.098,130.048,45.974,113.03,60.96,122.936,41.91,72.898,235.966,149.098,
1998,187.96,235.966,199.898,230.886,,131.064,98.044,71.12,,152.908,200.914,,141.986,104.902,,134.874,131.064,219.964,191.008,202.946,,,204.978,124.968,86.106,78.994,336.042,99.06,129.032,103.886,263.906,188.976,160.02,109.982,291.084,92.964,59.182,46.99,,,154.94,127,165.1,65.024,182.88,61.976,68.072,107.95,129.032,84.074,38.1,86.106,140.97,138.938,
1999,102.108,152.908,166.878,422.91,,117.094,90.932,9.906,88.9,86.106,290.8,,55.88,323.088,8.89,62.992,182.118,163.068,200.914,137.922,,22.86,75.946,91.948,60.96,103.886,156.972,84.074,148.844,104.14,85.09,249.936,134.112,132.08,173.99,61.976,39.116,49.022,60.96,,155.956,107.95,177.038,23.876,82.042,,33.02,96.012,84.074,41.91,37.084,109.22,73.914,91.948,
2000,440.944,182.118,181.102,286.004,,179.07,102.108,6.096,112.014,134.112,244.6,,112.014,234.95,,55.88,125.984,103.124,175.006,171.958,,91.948,139.954,109.982,78.994,149.098,120.904,16.002,167.894,266.954,147.066,239.014,199.898,182.118,192.024,89.916,120.904,147.066,171.45,,153.924,161.036,284.988,6.096,129.032,113.03,45.974,,71.882,108.204,97.028,54.102,155.956,173.99,0.762
2001,341.884,99.06,198.12,84.074,312.5,150.876,73.914,118.11,188.976,124.968,192.024,,107.95,128.016,,99.06,113.03,135.89,128.016,234.95,7.112,115.062,235.966,161.036,99.06,143.002,93.98,110.998,178.054,87.884,134.112,176.022,138.938,90.932,191.008,281.178,214.122,157.988,119.888,25.908,130.048,175.006,124.968,,115.062,280.924,,68.072,84.074,89.916,121.92,166.878,256.032,286.004,
2002,155.956,39.116,134.874,346.964,138.43,194.056,74.93,7.112,195.072,41.148,402.6,27.94,113.03,250.952,,81.026,230.886,185.928,254.508,120.904,118.11,80.518,110.744,71.12,90.424,87.122,57.912,7.112,247.904,151.892,132.588,247.396,125.984,67.056,150.876,134.112,55.118,77.978,85.09,105.918,211.074,148.082,159.512,,116.078,191.008,121.92,86.106,73.914,97.028,66.04,94.996,103.124,110.998,42.926
2003,184.404,166.624,341.884,467.36,90.932,296.926,236.982,66.802,173.482,94.996,165.862,50.038,140.97,201.676,,82.804,166.878,99.314,123.19,115.062,54.102,106.172,152.4,103.886,93.472,83.312,10.414,,123.698,171.704,118.872,199.898,261.112,146.304,96.52,91.186,80.01,,56.896,150.876,292.8,154.686,156.21,153.416,312.42,87.122,129.794,95.758,81.534,,48.26,105.918,176.53,261.874,97.536
2004,289.56,179.578,301.498,444.246,93.98,223.266,77.724,105.156,263,117.094,109.982,134.874,150.622,221.488,,57.912,116.078,144.018,132.08,181.61,62.484,171.196,101.6,64.516,79.502,110.744,172.974,23.114,91.948,135.636,116.332,227.33,207.264,197.104,151.892,117.094,38.1,78.232,84.328,192.532,198.12,181.61,231.394,90.424,70.866,106.68,79.756,86.36,73.406,83.82,94.996,114.046,163.322,126.238,94.488
2005,402.082,269.748,461.518,334.01,198.12,155.956,97.536,65.024,307.594,87.884,132.08,139.954,85.09,146.05,272.796,372.11,174.498,207.518,155.702,293.624,138.938,103.632,266.446,75.946,129.286,125.984,103.886,16.256,,104.648,119.38,189.484,114.3,126.492,201.422,214.884,153.924,140.208,63.754,114.554,213.36,258.318,128.778,104.902,156.972,99.314,55.118,,57.15,,,87.122,219.964,219.456,100.076
2006,233.68,136.652,156.718,468.884,82.042,303.276,110.998,,220.218,119.888,288.036,107.188,270.51,200.914,117.094,156.718,131.318,202.692,320.294,361.696,280.416,113.03,200.152,150.876,78.74,88.392,371.602,4.064,80.518,159.004,221.488,464.312,112.522,155.702,324.612,131.064,106.172,272.796,,,220.218,136.398,177.546,258.318,340.106,158.242,100.838,,171.704,180.086,,160.02,169.926,326.39,67.31
2007,462.026,239.522,161.29,360.172,129.54,171.704,270.256,,108.458,315.976,288.4,256.286,220.472,247.142,228.092,154.432,215.392,157.48,220.726,124.46,206.248,78.486,,103.378,70.866,,228.854,54.356,220.726,391.922,162.56,214.376,198.882,271.78,218.694,,91.186,,,217.678,172.72,118.618,173.482,220.218,139.954,78.232,87.884,158.242,180.086,87.122,,180.34,320.548,242.57,119.888
2008,483.87,290.322,102.108,373.888,152.146,170.942,216.408,57.912,205.486,180.086,250.19,95.504,,201.93,242.824,174.498,169.672,476.25,247.142,179.324,,200.66,277.114,89.916,67.564,152.146,322.326,,138.43,261.874,266.954,275.59,117.094,109.474,299.974,,96.012,70.612,,270.256,261.874,158.496,203.454,191.262,201.168,220.218,123.444,83.82,220.218,176.022,,140.716,167.386,298.196,108.966
2009,402.59,168.91,443.484,416.052,180.594,174.752,154.432,,188.722,207.01,252.73,129.032,107.696,163.83,,436.372,172.72,148.082,180.086,360.426,331.724,156.21,117.094,173.228,110.49,258.318,173.482,,258.572,454.914,360.172,428.498,270.002,156.21,132.08,268.478,,130.048,,228.6,,134.366,328.676,93.218,194.056,195.58,88.138,,,60.96,,100.584,316.484,210.566,173.99
2010,121.666,116.586,247.65,434.086,173.99,183.642,157.988,,136.906,210,149.098,154.94,87.122,123.698,,134.874,115.062,131.064,166.878,160.02,151.892,79.756,115.316,68.072,54.356,180.594,117.602,23.114,156.21,120.396,196.596,167.64,123.444,71.628,97.028,85.09,70.104,91.44,104.902,200.66,140.208,110.236,152.654,158.496,180.086,200.406,134.112,169.418,130.048,54.356,,258.318,130.81,216.662,85.598
2011,281.94,378.206,241.3,290.068,189.484,155.448,137.922,,155.194,249.936,241.808,97.79,188.976,314.706,,160.782,143.002,185.166,266.954,132.842,163.068,159.004,228.854,164.338,90.17,77.978,155.194,372.618,239.014,250.952,295.656,313.944,227.076,112.014,140.462,47.244,91.948,173.736,157.226,236.474,210.058,,377.444,240.284,160.274,130.556,191.77,108.712,179.07,136.906,,207.01,341.122,300.99,69.088
2012,393.7,214.884,182.118,453.898,260.35,256.032,103.378,,126.238,288.036,205.994,,131.064,370.586,293.116,239.776,354.076,273.558,144.018,120.396,156.464,93.218,183.388,90.17,106.172,140.716,202.946,106.934,357.886,363.728,242.316,152.146,135.89,87.122,161.036,,139.954,107.188,80.01,238.252,148.336,197.612,155.448,145.288,125.984,167.386,96.266,105.918,77.978,223.012,,101.092,148.844,131.064,81.026
2013,,211.836,189.992,156.718,108.204,112.014,119.888,213.106,,227.838,231.648,,81.026,405.638,359.664,154.686,293.878,149.352,166.116,152.4,129.286,94.488,123.698,65.532,82.296,122.936,166.37,202.438,189.992,,178.054,115.316,98.298,175.006,,,79.248,71.374,47.498,217.17,99.314,127.762,167.894,141.478,143.51,155.194,150.368,168.91,83.566,,,112.014,182.88,250.444,66.294
2014,267.716,194.056,461.518,326.39,132.08,156.718,83.058,55.88,131.064,144.018,176.022,89.154,100.076,211.582,378.46,202.946,136.398,167.894,299.974,255.016,150.622,233.426,196.596,226.822,103.124,92.964,108.966,89.916,109.474,175.26,122.936,203.454,196.088,,82.042,,,119.126,151.892,395.478,136.398,,147.066,212.09,360.172,103.886,64.008,141.478,,80.772,,129.032,362.204,267.208,76.708
2015,307.594,242.57,158.496,241.046,164.084,159.512,225.552,224.028,113.284,251.968,196.85,180.34,231.902,203.708,150.114,114.3,117.094,104.902,222.25,139.954,110.998,84.328,209.296,102.87,57.404,119.888,165.608,192.278,146.812,130.048,254,129.54,186.182,168.91,145.034,,160.02,76.454,,196.342,160.02,,107.188,126.492,191.516,101.854,146.05,89.916,,,,87.884,103.378,145.034,158.496
2016,192.278,210.058,150.622,331.47,148.336,137.922,134.112,182.88,275.336,98.806,195.834,182.118,,248.666,380.492,94.234,159.512,181.102,230.886,163.322,101.6,145.288,110.49,,114.554,124.206,109.982,82.042,136.144,154.686,156.464,199.39,406.4,82.55,129.032,,70.866,151.892,88.9,229.87,213.106,,310.896,213.614,191.516,121.92,59.182,134.112,,66.04,,179.324,142.24,174.244,68.58
2017,291.846,191.77,181.61,143.002,274.066,231.902,160.02,127.254,117.094,237.744,182.118,78.994,89.408,181.102,145.034,273.812,142.24,201.93,183.134,201.422,134.62,122.936,221.742,,72.136,126.238,207.518,110.998,172.72,110.49,437.642,461.518,202.946,224.282,177.038,,107.696,77.978,191.516,381.762,150.622,,347.472,184.658,265.938,209.804,65.532,112.522,,132.08,,88.392,147.828,179.832,
2018,154.178,216.154,237.998,275.59,151.13,161.798,101.6,32.512,172.212,169.926,118.11,138.684,140.208,182.118,172.974,208.026,258.318,247.65,140.97,166.37,149.098,165.862,104.648,,291.338,91.44,126.492,299.72,175.514,270.002,244.856,399.288,221.488,143.256,153.924,,140.716,84.582,74.676,,281.7,99.314,437.896,200.152,187.706,181.102,92.456,137.922,,109.982,,106.426,141.478,184.912,70.104
